epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.691655,0.95661,0.25,1,0.91427,7.14e-06,7.14e-06,7.14e-06
2,1.62485,0.69327,0.5,1,0.78031,1.92994e-05,1.92994e-05,1.92994e-05
3,5.15571,0.90905,0.5,1,0.68359,2.86314e-05,2.86314e-05,2.86314e-05
4,5.76289,0.79792,0.5,1,0.59798,3.51359e-05,3.51359e-05,3.51359e-05
5,6.32815,0.74706,0.75,1,0.53206,3.8813e-05,3.8813e-05,3.8813e-05
6,6.98896,0.59931,0.75,1,0.53206,3.96627e-05,3.96627e-05,3.96627e-05
7,7.59283,0.75408,0.75,1,0.42712,3.76849e-05,3.76849e-05,3.76849e-05
8,8.12643,0.66731,0.75,1,0.45927,3.28797e-05,3.28797e-05,3.28797e-05
9,8.70126,0.53368,0.75,1,0.45927,2.5247e-05,2.5247e-05,2.5247e-05
10,9.27309,0.66143,0.75,1,0.481,1.47869e-05,1.47869e-05,1.47869e-05
